Word,Count
/,1593
the,831
to,584
<param,476
<summary>,318
</summary>,309
for,284
a,273
of,249
in,247
and,196
this,193
=,183
if,182
group,177
is,163
we,133
If,120
it,109
examine,106
randomly,106
measure,100
Add,94
one,88
{,86
},86
The,85
codelet,80
with,76
an,76
are,75
analogy,74
or,73
which,70
Use,70
all,68
groups,66
octave,66
on,65
new,65
\Otherwise,\,64
from,63
note,63
//,62
\name="\parent"\></param>\,58
picks,57
\name="\slipnet"\></param>\,57
\name="\workspace"\></param>\,57
\name="\coderack"\></param>\,57
\name="\urgency"\></param>\,57
tell,56
add,56
constructer,56
\name="\notes"\></param>\,55
<returns></returns>,54
given,54
link,53
attention,52
none,52
TODO:,52
Check,51
select,50
+,50
\given,\,50
history,49
that,49
1,48
degree,48
have,48
0,48
codelets,45
measures,45
by,44
at,43
be,41
label,40
each,40
not,40
Middle,40
4th,39
Find,39
C,38
as,37
strength,36
Make,36
up,35
float,35
based,34
Look,33
same,33
2,33
between,33
alphabet,32
size,31
==,31
return,31
key,31
Returns,30
public,29
level,29
number,29
Draw,29
-,28
analogies,28
pitch,28
run,28
Try,27
find,27
assembly,27
#,27
first,26
private,26
Pick,26
just,26
try,25
Group,25
notes,25
set,24
any,24
previous,24
time,24
elements,23
scale,23
expected,23
list,23
start,23
code,23
sure,23
relationship,22
relationships,22
barline,22
type,22
///,22
This,22
test,22
out,21
major,21
already,21
use,21
too,21
LHS,21
used,21
Get,20
can,20
event,20
current,20
MIDI,19
*,19
do,19
return;,19
Compute,18
,18
A,18
has,18
TODO,18
existing,18
etc,18
offset,18
Normal,18
const,18
need,18
Set,18
20;,18
links,18
no,18
3rd,17
name,17
don't,17
it's,17
ACTIVATION_INCREASE_FOR_FEATURE,17
score,17
3,17
range,17
accidental,17
following,17
void,16
right,16
coderack,16
RHS,16
distance,16
foreach,16
int,16
end,16
element,15
5th,15
strong,15
so,15
reason,15
Version,15
Remove,15
gap,15
will,15
using,15
4,15
default,15
exists,14
true,14
other,14
<,14
more,14
B,14
string,14
class,14
length,14
get,14
attack,14
there,14
We,14
natural,14
else,14
node,13
5,13
should,13
here,13
make,13
where,13
you,13
version,13
value,13
method,13
case,13
only,13
values,13
minor,13
Required,12
structure,12
happiness,12
can't,12
tonic,12
Now,12
look,12
resources,12
update,12
old,12
workspace,12
100,12
modify,12
height,12
&&,12
final,12
For,12
7,11
Major,11
point,11
after,11
Verify,11
enough,11
input,11
starting,11
found,11
Cb,11
Build,11
total,11
above,11
\"\\,11
left,11
\workspace,\,11
i,11
activation,11
until,11
Lowered,11
they,11
was,10
two,10
break,10
First,10
COM,10
expectation,10
half,10
ComVisible,10
!=,10
attribute,10
into,10
0;,10
fight,10
\0,\,10
||,10
null),10
drawing,10
than,10
hierarchy,10
information,10
\coderack,\,10
like,10
Revision,10
subcomponents,10
Only,10
\now,\,10
file,10
now,10
unmapped,10
2nd,10
/</summary>,10
both,9
different,9
false,9
being,9
similarity,9
Parse,9
either,9
<=,9
parent,9
least,9
Minor,9
every,9
No,9
order,9
F,9
expectations,9
these,9
copy,9
structures,9
QF,9
Assign,9
when,9
Adds,9
through,8
Clean,8
but,8
keys,8
original,8
types,8
conflicts,8
Skip,8
such,8
another,8
attributes,8
-1,8
about,8
flats,8
Makes,8
