File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\GroundTruthParser\Parser.cs,184,144,100,29,25,5,15,77,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\GroundTruthParser\Properties\AssemblyInfo.cs,37,15,3,0,5,0,17,120,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\NoGUIRhythmCat\Program.cs,12,10,7,0,2,0,0,0,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\NoGUIRhythmCat\Properties\AssemblyInfo.cs,37,15,3,0,5,0,17,120,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\PrintAllCodelets\Form1.cs,95,77,62,7,17,0,1,2,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\PrintAllCodelets\Form1.Designer.cs,140,90,83,1,9,0,41,64,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\PrintAllCodelets\Program.cs,19,14,10,0,2,0,3,12,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\PrintAllCodelets\Properties\AssemblyInfo.cs,37,15,3,0,5,0,17,120,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\PrintAllCodelets\Properties\Resources.Designer.cs,63,32,16,3,9,1,22,119,0,1
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\PrintAllCodelets\Properties\Settings.Designer.cs,27,13,6,1,6,1,8,30,0,1
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\Accidental.cs,14,12,5,0,2,0,0,0,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\Analogy.cs,507,334,226,92,89,1,84,512,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\Codelet.cs,105,73,44,5,23,3,9,85,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\Coderack.cs,546,409,280,82,98,9,39,290,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\ColorList.cs,49,38,33,2,11,0,0,0,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\ConceptInstance.cs,19,16,10,0,3,0,0,0,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\ConceptLink.cs,96,71,43,5,17,2,8,47,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\ConceptNode.cs,262,163,94,25,54,0,45,258,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\Constants.cs,126,76,71,0,32,19,18,137,0,0
C:\Users\epnichols\Documents\Visual Studio 2010\Projects\RhythmCat\RhythmCat\CustomAttributes.cs,145,110,64,0,35,0,0,0,0,0
